track,sample,outcome,spec_id,spec_label,hypothesis_family,weight_status,weight_column,sample_n,folds,nuisance_learner,engine_impl,x_block_id,x_exclude_columns,x_feature_count,treatment,estimate,std_error,ci_low,ci_high,p_value,outcome_oof_r2,treatment_oof_r2,mean_treatment_oof_r2,final_model_r2,condition_number,p_value_adj_bh,p_value_adj_holm,significant_bh_0_05,significant_holm_0_05,source_path
track1_per_cell,main,share_joint_Injury_composed,expressive_environment,Interview-year moderation,H5,unweighted,,633,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,h5_no_interview_year_controls,interview_year;age_at_interview,28,adolescent_exposure_flag,0.1450823562692313,0.1717922085622933,-0.191624185337457,0.4817888978759198,0.3983775906265184,-0.2665029438875139,0.9922043607387164,0.2764585705093821,0.0072922301461187,168.80700358644745,0.8869729811452898,1.0,0,0,models/causal_estimates_v1/track1_per_cell_v1/track1_per_cell_estimates_v1.csv
track1_per_cell,main,share_joint_Injury_composed,expressive_environment,Interview-year moderation,H5,unweighted,,633,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,h5_no_interview_year_controls,interview_year;age_at_interview,28,interview_year_centered_v1,-0.0027852060448109,0.0018077648400235,-0.0063283600237748,0.0007579479341528,0.1233921395049216,-0.2665029438875139,0.0123387264222976,0.2764585705093821,0.0072922301461187,168.80700358644745,0.6345881460253111,1.0,0,0,models/causal_estimates_v1/track1_per_cell_v1/track1_per_cell_estimates_v1.csv
track1_per_cell,main,share_joint_Injury_composed,expressive_environment,Interview-year moderation,H5,unweighted,,633,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,h5_no_interview_year_controls,interview_year;age_at_interview,28,adolescent_x_interview_year_centered_v1,0.0039689630026877,0.0027097095728984,-0.0013419701687565,0.009279896174132,0.1429976083499052,-0.2665029438875139,-0.1751673756328677,0.2764585705093821,0.0072922301461187,168.80700358644745,0.6699340007625696,1.0,0,0,models/causal_estimates_v1/track1_per_cell_v1/track1_per_cell_estimates_v1.csv
track1_per_cell,main,share_joint_Injury_discomposed,expressive_environment,Interview-year moderation,H5,unweighted,,633,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,h5_no_interview_year_controls,interview_year;age_at_interview,28,adolescent_exposure_flag,0.0130924259290726,0.1464787862880495,-0.2740007196946439,0.3001855715527892,0.928779092819236,-0.260659195464215,0.9922043607387164,0.2764585705093821,0.001843045123512,168.80700358644745,0.9813174645123344,1.0,0,0,models/causal_estimates_v1/track1_per_cell_v1/track1_per_cell_estimates_v1.csv
track1_per_cell,main,share_joint_Injury_discomposed,expressive_environment,Interview-year moderation,H5,unweighted,,633,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,h5_no_interview_year_controls,interview_year;age_at_interview,28,interview_year_centered_v1,0.000356652506897,0.0018765419707014,-0.0033213021711556,0.0040346071849496,0.84926339189412,-0.260659195464215,0.0123387264222976,0.2764585705093821,0.001843045123512,168.80700358644745,0.9813174645123344,1.0,0,0,models/causal_estimates_v1/track1_per_cell_v1/track1_per_cell_estimates_v1.csv
track1_per_cell,main,share_joint_Injury_discomposed,expressive_environment,Interview-year moderation,H5,unweighted,,633,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,h5_no_interview_year_controls,interview_year;age_at_interview,28,adolescent_x_interview_year_centered_v1,-0.001692262567859,0.0024365429583663,-0.0064677990130417,0.0030832738773236,0.4873472213442997,-0.260659195464215,-0.1751673756328677,0.2764585705093821,0.001843045123512,168.80700358644745,0.937584855629739,1.0,0,0,models/causal_estimates_v1/track1_per_cell_v1/track1_per_cell_estimates_v1.csv
track1_per_cell,main,share_joint_Rupture_composed,expressive_environment,Interview-year moderation,H5,unweighted,,633,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,h5_no_interview_year_controls,interview_year;age_at_interview,28,adolescent_exposure_flag,-0.4646797342825208,0.4445813247961098,-1.336043119082,0.4066836505169586,0.2959270786418816,-0.2153078462227571,0.9922043607387164,0.2764585705093821,0.0161239714146789,168.80700358644745,0.881069887355995,1.0,0,0,models/causal_estimates_v1/track1_per_cell_v1/track1_per_cell_estimates_v1.csv
track1_per_cell,main,share_joint_Rupture_composed,expressive_environment,Interview-year moderation,H5,unweighted,,633,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,h5_no_interview_year_controls,interview_year;age_at_interview,28,interview_year_centered_v1,-0.0039688000881808,0.0021861875047098,-0.0082536488608636,0.0003160486845019,0.0694627917903441,-0.2153078462227571,0.0123387264222976,0.2764585705093821,0.0161239714146789,168.80700358644745,0.4658093096528959,1.0,0,0,models/causal_estimates_v1/track1_per_cell_v1/track1_per_cell_estimates_v1.csv
track1_per_cell,main,share_joint_Rupture_composed,expressive_environment,Interview-year moderation,H5,unweighted,,633,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,h5_no_interview_year_controls,interview_year;age_at_interview,28,adolescent_x_interview_year_centered_v1,0.0085943926847925,0.0033956154590487,0.0019391086797096,0.0152496766898755,0.0113729258266912,-0.2153078462227571,-0.1751673756328677,0.2764585705093821,0.0161239714146789,168.80700358644745,0.1501421903922876,1.0,0,0,models/causal_estimates_v1/track1_per_cell_v1/track1_per_cell_estimates_v1.csv
track1_per_cell,main,share_joint_Rupture_discomposed,expressive_environment,Interview-year moderation,H5,unweighted,,633,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,h5_no_interview_year_controls,interview_year;age_at_interview,28,adolescent_exposure_flag,0.3176678336961157,0.3403800407531981,-0.3494647872364284,0.9848004546286596,0.3506785286139542,-0.255097541141537,0.9922043607387164,0.2764585705093821,0.0209800223282656,168.80700358644745,0.8869729811452898,1.0,0,0,models/causal_estimates_v1/track1_per_cell_v1/track1_per_cell_estimates_v1.csv
